Orig;V1;V2;V3;Orig/V3
8225000;5311000;3647000;3761000;2.18692
347000;226000;165000;168000;2.06548
6857000;4475000;3151000;3211000;2.13547
4505000;3195000;2529000;2552000;1.76528
9426000;6363000;4393000;4551000;2.07119
92226000;67961000;47091000;48904000;1.88586
2690000;638000;659000;699000;3.84835
858000;664000;539000;550000;1.56000
2631000;2273000;1749000;1776000;1.48142
420322000;392964000;230007000;205580000;2.04457
8506000;5110000;4181000;4316000;1.97081
885803000;577869000;487545000;510649000;1.73466
1371000;998000;671000;686000;1.99854
8378999;5702000;4081000;4355000;1.92400
66852999;38040000;28120000;30312000;2.20550
206351000;102884000;95146000;97073000;2.12573
2103000;1110000;1259000;702000;2.99573
4271000;3116000;2074000;2083000;2.05041
46283000;30868000;26249000;27809000;1.66432
32286000;25606000;18874000;19192000;1.68226
163000;93000;83000;87000;1.87356
1599000;1396000;1082000;1100000;1.45364
1935000;1226000;1032000;1064000;1.81861
579000;402000;274000;273000;2.12088
25209000;6690000;5964000;6291000;4.00715
1283000;1097000;829000;844000;1.52014
11819000;9250000;6453000;6644000;1.77890
11384000;7329000;6030000;6229000;1.82758
14981000;9674000;6829000;7241000;2.06891
92951000;57883000;46463000;47811000;1.94413
38120000;26770000;15967000;16328000;2.33464
3578000;3120000;2176000;2328000;1.53694
2004000;1059000;842000;858000;2.33566
349000;241000;204000;208000;1.67788
3880000;2908000;2383000;2432000;1.59539
7048000;5515000;3772000;3811000;1.84938
22167000;5334000;5373000;5536000;4.00415
5713000;5018000;3640000;3824000;1.49399
34971000;15155000;14457000;12873000;2.71662
9492000;6674000;5012000;5258000;1.80525
910000;703000;607000;603000;1.50912
18932000;10507000;7806000;7795000;2.42874
1663000;1315000;929000;956000;1.73954
12620000;9652000;7991000;8258000;1.52822
1425000;1096000;919000;932000;1.52897
1888000;878000;691000;727000;2.59697
1563000;727000;798000;514000;3.04086
12883000;8274000;5366000;5404000;2.38397
49124000;22163000;16845000;17931000;2.73961
17479000;3813000;4190000;4292000;4.07246
7313000;3128000;2826000;2894000;2.52695
1113000;668000;461000;474000;2.34810
24208000;6684000;4802000;15711000;1.54083
71264000;51262000;36256000;37823000;1.88414
2342000;1506000;1049000;1077000;2.17456
865000;749000;573000;577000;1.49913
524000;370000;297000;308000;1.70130
7486000;6620000;4953000;4953000;1.51141
848000;561000;401000;407000;2.08354
163000;68000;77000;73000;2.23288
693000;482000;361000;354000;1.95763
2945000;2019000;1373000;1373000;2.14494
2148000;1879000;1362000;1347000;1.59465
18187000;5382000;4947000;5184000;3.50829
14796000;11318000;8870000;9142000;1.61846
476000;328000;239000;254000;1.87402
267000;132000;107000;112000;2.38393
873000;486000;364000;375000;2.32800
1093000;742000;539000;544000;2.00919
7851000;6732000;4956000;5066000;1.54974
1467000;796000;611000;622000;2.35852
23322000;15685000;11484000;11982000;1.94642
13888000;6042000;5629000;5710000;2.43222
3011000;1883000;1296000;1297000;2.32151
2086000;1789000;1365000;1420000;1.46901
4902000;3988000;3062000;3077000;1.59311
21848000;15638000;11790000;12228000;1.78672
18025000;4005000;4085000;2146000;8.39935
2098000;1078000;813000;840000;2.49762
5143000;4325000;3261000;3306000;1.55566
27122000;18212000;12695000;13451000;2.01636
687000;491000;375000;377000;1.82228
286000;183000;143000;144000;1.98611
19499000;10594000;9158000;9217000;2.11555
762444000;401341000;362142000;368831000;2.06719
671772000;73107000;45743000;383991000;1.74945
2839000;1636000;1337000;1297000;2.18890
3530000;2310000;1710000;1762000;2.00341
10932000;8179000;6724000;6950000;1.57295
7875999;5468000;3921000;4039000;1.94999
1739000;1457000;1104000;1112000;1.56385
2140000;1898000;1453000;1496000;1.43048
6458000;5400000;3953000;4039000;1.59891
5634000;2912000;3282000;2097000;2.68670
10826000;7528000;5608000;5871000;1.84398
176999000;119614000;106675000;110995000;1.59466
136000;86000;73000;88000;1.54545
277000;156000;143000;141000;1.96454
30632000;329416000;171995000;17928000;1.70861
